[2020-04-24 04:35:31]: Path: save/1587717331/ is created
[2020-04-24 04:35:58]: Start train process.
[2020-04-24 05:43:56]: | epoch   9 |  2400/ 4351 batches | rec loss 0.5719 | dis loss 0.4587 |
[2020-04-24 05:44:16]: | epoch   9 |  2600/ 4351 batches | rec loss 0.5666 | dis loss 0.4538 |
[2020-04-24 05:44:35]: | epoch   9 |  2800/ 4351 batches | rec loss 0.5695 | dis loss 0.5072 |
[2020-04-24 05:44:55]: | epoch   9 |  3000/ 4351 batches | rec loss 0.5135 | dis loss 0.4505 |
[2020-04-24 05:45:14]: | epoch   9 |  3200/ 4351 batches | rec loss 0.5464 | dis loss 0.4582 |
[2020-04-24 05:45:34]: | epoch   9 |  3400/ 4351 batches | rec loss 0.5624 | dis loss 0.4626 |
[2020-04-24 05:45:54]: | epoch   9 |  3600/ 4351 batches | rec loss 0.4888 | dis loss 0.4741 |
[2020-04-24 05:46:13]: | epoch   9 |  3800/ 4351 batches | rec loss 0.5470 | dis loss 0.3933 |
[2020-04-24 05:46:33]: | epoch   9 |  4000/ 4351 batches | rec loss 0.6210 | dis loss 0.4782 |
[2020-04-24 05:46:52]: | epoch   9 |  4200/ 4351 batches | rec loss 0.5593 | dis loss 0.5262 |
[2020-04-24 05:47:07]: | end of epoch   9 | time: 427.87s |
[2020-04-24 05:47:08]: | epoch  10 |     0/ 4351 batches | rec loss 0.5396 | dis loss 0.4274 |
[2020-04-24 05:47:27]: | epoch  10 |   200/ 4351 batches | rec loss 0.5310 | dis loss 0.4295 |
[2020-04-24 05:47:47]: | epoch  10 |   400/ 4351 batches | rec loss 0.5377 | dis loss 0.4200 |
[2020-04-24 05:48:07]: | epoch  10 |   600/ 4351 batches | rec loss 0.5250 | dis loss 0.4044 |
[2020-04-24 05:48:26]: | epoch  10 |   800/ 4351 batches | rec loss 0.5680 | dis loss 0.4279 |
[2020-04-24 05:48:46]: | epoch  10 |  1000/ 4351 batches | rec loss 0.5070 | dis loss 0.5302 |
[2020-04-24 05:49:06]: | epoch  10 |  1200/ 4351 batches | rec loss 0.5657 | dis loss 0.4577 |
[2020-04-24 05:49:25]: | epoch  10 |  1400/ 4351 batches | rec loss 0.4669 | dis loss 0.3602 |
[2020-04-24 05:49:45]: | epoch  10 |  1600/ 4351 batches | rec loss 0.5205 | dis loss 0.4233 |
[2020-04-24 05:50:05]: | epoch  10 |  1800/ 4351 batches | rec loss 0.5074 | dis loss 0.4125 |
